"統計名：","令和７年国勢調査 速報集計 人口速報集計　（男女別人口及び世帯総数）"
"表番号：","1-2"
"表題：","2020年（令和２年）の人口（組替）、世帯数、2020年（令和２年）の世帯数（組替）、5年間の人口増減数、5年間の人口増減率、5年間の世帯増減数、5年間の世帯増減率、人口性比、面積（参考）及び人口密度－全国、都道府県、市区町村"
"実施年月：","2025年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2025_03","2025_13","2025_15","2025_34","2025_35","2025_36","2025_37","2025_46","2025_47","2025_48"
"","","","","","","/表章事項 補助コード","-","-","-","-","-","-","-","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国、都道府県、市区町村 コード","全国、都道府県、市区町村 補助コード","全国、都道府県、市区町村","/表章事項","2020年（令和2年）の人口（組替）【人】","世帯数【世帯】","2020年（令和2年）の世帯数（組替）【世帯】","5年間の人口増減数【人】","5年間の人口増減率【％】","5年間の世帯増減数【世帯】","5年間の世帯増減率【％】","人口性比","面積（参考）【km2】","人口密度【1km2当たり】"
"2025000000","","2025年","00000","","全国","","126,146,099","57,124,507","55,830,154","-3,096,575","-2.45475","1,294,353","2.31838","94.48106","377,979.67","329.9"
"2025000000","","2025年","01000","","北海道","","5,224,614","2,465,414","2,476,846","-239,195","-4.57823","-11,432","-0.46155","89.57479","83,422.27","63.6"
"2025000000","","2025年","01100","","札幌市","","1,973,395","995,616","969,161","-9,361","-0.47436","26,455","2.72968","87.19937","1,121.26","1,751.6"
"2025000000","","2025年","01101","","札幌市中央区","","248,680","149,983","141,429","7,202","2.89609","8,554","6.04826","83.70450","46.42","5,512.3"
"2025000000","","2025年","01102","","札幌市北区","","289,323","142,711","139,675","-3,525","-1.21836","3,036","2.17362","90.01137","63.57","4,495.8"
"2025000000","","2025年","01103","","札幌市東区","","265,379","130,926","131,188","-4,130","-1.55626","-262","-0.19971","90.68992","56.97","4,585.7"
"2025000000","","2025年","01104","","札幌市白石区","","211,835","111,528","108,233","-1,082","-0.51077","3,295","3.04436","89.57040","34.47","6,114.1"
"2025000000","","2025年","01105","","札幌市豊平区","","225,298","127,018","118,650","5,662","2.51312","8,368","7.05268","86.07049","46.23","4,995.9"
"2025000000","","2025年","01106","","札幌市南区","","135,777","61,935","62,134","-3,252","-2.39510","-199","-0.32028","85.65605","657.48","201.6"
"2025000000","","2025年","01107","","札幌市西区","","217,040","107,051","103,849","734","0.33819","3,202","3.08332","85.24025","75.10","2,899.8"
"2025000000","","2025年","01108","","札幌市厚別区","","125,083","58,467","57,289","-3,080","-2.46236","1,178","2.05624","82.27631","24.38","5,004.2"
"2025000000","","2025年","01109","","札幌市手稲区","","142,625","60,851","61,080","-3,479","-2.43926","-229","-0.37492","87.79658","56.77","2,451.0"
"2025000000","","2025年","01110","","札幌市清田区","","112,355","45,146","45,634","-4,411","-3.92595","-488","-1.06938","88.73638","59.87","1,803.0"
"2025000000","","2025年","01202","","函館市","","251,084","115,803","121,793","-20,586","-8.19885","-5,990","-4.91818","83.01481","677.87","340.0"
"2025000000","","2025年","01203","","小樽市","","111,299","49,133","52,817","-10,895","-9.78895","-3,684","-6.97503","82.09253","243.87","411.7"
"2025000000","","2025年","01204","","旭川市","","329,306","150,593","156,195","-23,605","-7.16811","-5,602","-3.58654","84.99304","747.66","408.9"
"2025000000","","2025年","01205","","室蘭市","","82,383","39,105","41,766","-8,364","-10.15258","-2,661","-6.37121","96.80147","81.01","913.7"
"2025000000","","2025年","01206","","釧路市","","165,077","77,314","80,349","-13,751","-8.33005","-3,035","-3.77727","87.84027","1,363.26","111.0"
"2025000000","","2025年","01207","","帯広市","","166,536","80,646","80,175","-5,772","-3.46592","471","0.58746","91.13542","619.34","259.6"
"2025000000","","2025年","01208","","北見市","","115,480","53,937","55,188","-7,193","-6.22878","-1,251","-2.26680","92.10382","1,427.41","75.9"
"2025000000","","2025年","01209","","夕張市","","7,334","2,961","3,807","-1,716","-23.39787","-846","-22.22222","88.27078","763.07","7.4"
"2025000000","","2025年","01210","","岩見沢市","","79,306","34,158","35,584","-6,302","-7.94644","-1,426","-4.00742","87.03149","481.02","151.8"
"2025000000","","2025年","01211","","網走市","","35,759","17,036","17,253","-2,989","-8.35873","-217","-1.25775","99.62232","470.84","69.6"
"2025000000","","2025年","01212","","留萌市","","20,114","8,938","9,816","-2,754","-13.69196","-878","-8.94458","94.68431","297.81","58.3"
"2025000000","","2025年","01213","","苫小牧市","","170,113","79,993","80,130","-5,693","-3.34660","-137","-0.17097","97.44221","561.66","292.7"
"2025000000","","2025年","01214","","稚内市","","33,563","15,180","16,060","-3,495","-10.41325","-880","-5.47945","98.78355","761.42","39.5"
"2025000000","","2025年","01215","","美唄市","","20,413","8,507","9,434","-2,745","-13.44731","-927","-9.82616","90.01936","277.69","63.6"
"2025000000","","2025年","01216","","芦別市","","12,555","5,451","6,055","-1,950","-15.53166","-604","-9.97523","86.87225","865.04","12.3"
"2025000000","","2025年","01217","","江別市","","121,056","54,574","53,977","-1,488","-1.22918","597","1.10603","90.48590","187.38","638.1"
"2025000000","","2025年","01218","","赤平市","","9,698","3,993","4,494","-1,430","-14.74531","-501","-11.14820","83.00133","129.88","63.7"
"2025000000","","2025年","01219","","紋別市","","21,215","10,927","11,214","-1,752","-8.25831","-287","-2.55930","87.39650","830.67","23.4"
"2025000000","","2025年","01220","","士別市","","17,858","7,702","8,184","-2,073","-11.60824","-482","-5.88954","90.82447","1,119.22","14.1"
"2025000000","","2025年","01221","","名寄市","","27,282","12,109","12,810","-2,884","-10.57107","-701","-5.47229","94.54589","534.86","45.6"
"2025000000","","2025年","01222","","三笠市","","8,040","3,455","3,816","-1,133","-14.09204","-361","-9.46017","87.18157","302.52","22.8"
"2025000000","","2025年","01223","","根室市","","24,636","10,142","11,153","-3,435","-13.94301","-1,011","-9.06483","90.12645","502.65","52.0"
"2025000000","","2025年","01224","","千歳市","","97,950","47,127","43,809","227","0.23175","3,318","7.57379","104.08897","594.50","165.1"
"2025000000","","2025年","01225","","滝川市","","39,490","17,832","18,688","-3,645","-9.23018","-856","-4.58048","89.88716","115.90","309.3"
"2025000000","","2025年","01226","","砂川市","","16,486","7,182","7,599","-1,488","-9.02584","-417","-5.48756","86.19491","78.68","190.6"
"2025000000","","2025年","01227","","歌志内市","","2,989","1,192","1,424","-538","-17.99933","-232","-16.29213","91.03663","55.95","43.8"
"2025000000","","2025年","01228","","深川市","","20,039","8,501","9,198","-2,319","-11.57243","-697","-7.57773","85.49147","529.42","33.5"
"2025000000","","2025年","01229","","富良野市","","21,131","9,333","9,538","-1,810","-8.56561","-205","-2.14930","89.03238","600.71","32.2"
"2025000000","","2025年","01230","","登別市","","46,391","20,013","20,928","-4,400","-9.48460","-915","-4.37213","90.43537","212.21","197.9"
"2025000000","","2025年","01231","","恵庭市","","70,331","32,299","30,276","587","0.83462","2,023","6.68186","94.46105","294.65","240.7"
"2025000000","","2025年","01233","","伊達市","","32,826","14,013","14,844","-2,718","-8.28002","-831","-5.59822","84.80236","444.21","67.8"
"2025000000","","2025年","01234","","北広島市","","58,171","24,574","24,640","-2,333","-4.01059","-66","-0.26786","90.54086","119.05","469.0"
"2025000000","","2025年","01235","","石狩市","","56,869","24,517","23,102","-1,098","-1.93075","1,415","6.12501","92.35359","722.33","77.2"
"2025000000","","2025年","01236","","北斗市","","44,302","17,748","18,337","-3,701","-8.35402","-589","-3.21208","87.78502","397.44","102.2"
"2025000000","","2025年","01303","","当別町","","15,916","7,058","7,281","-967","-6.07565","-223","-3.06277","94.72450","422.86","35.4"
"2025000000","","2025年","01304","","新篠津村","","3,044","982","1,051","-310","-10.18397","-69","-6.56518","96.26705","78.04","35.0"
"2025000000","","2025年","01331","","松前町","","6,260","2,822","3,196","-997","-15.92652","-374","-11.70213","85.12135","293.25","17.9"
"2025000000","","2025年","01332","","福島町","","3,794","1,658","1,861","-610","-16.07802","-203","-10.90811","87.62522","187.25","17.0"
"2025000000","","2025年","01333","","知内町","","4,167","1,704","1,868","-513","-12.31102","-164","-8.77944","98.15618","196.76","18.6"
"2025000000","","2025年","01334","","木古内町","","3,832","1,690","1,871","-574","-14.97912","-181","-9.67397","86.38444","221.86","14.7"
